Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
Electrify Africa Act,legislative,United States of America,USA,"",Mitigation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building; Building codes|Regulation,Law,"","Institutions / Administrative Arrangements, Energy Supply, Energy Demand","Energy, Transportation",08/02/2016|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ29JIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be718a8d6ea75f1838fdc727423612b6affd38b5/f|,,"The law legislates the US initiative and goal to provide access to power for at least 50 million people in sub-Saharan Africa by 2020, and to enable the installation of an additional 20,000 megawatts of electricity capacity by 2020.<br />
The law supports a broad variety of power generation options, including oil, coal and natural gas, hydroelectric power, wind, solar, geothermal and other renewable sources of power, as well as energy efficiency and distribution and transmission systems upgrades. The Electricity Africa Act however particularly promotes renewable energy projects, as the law requires the U.S. government to promote the spread of distributed renewable energy in sub-Saharan Africa, including off-grid lighting and power. The priority given to off-grid generation is an endorsement of existing efforts, already carried out by a sub-initiative of Power Africa Initiative (see below).<br />
To create lasting infrastructures, the law seeks to promote policies to facilitate private financing and public-private partnerships, allow independent producers' participation in electricity markets, and encourage other regulatory reforms in the power sector. The law calls on the US to partner with sub-Saharan African countries, international and regional financial institutions and the private sector to meet the above goals and implement a strong monitoring and evaluation mechanisms.<br />
The Electricity Africa Act does not allocate new funds to the US agencies, but builds on and backs the <a href=""https://www.dlapiper.com/en/china/insights/publications/2013/07/us-commits-$7b-to-ambitious-power-africa-initiat__/"">Power Africa Initiative</a>, launched in 2013 with a goal of doubling access to electricity across sub-Saharan Africa. The Initiative commits the US to US$7 billion support to the energy sector in sub-Saharan Africa.<br />
The law requires the President of the U.S. to submit to the US Senate, within 6 months of the law's enactment, a report outlining a multiyear strategy for reaching the objectives of the law.<br />
The Electricity Africa Act also directs U.S. government agencies, such as US Agency for International Development (USAID), the US Trade and Development Agency, the Overseas Private Investment Corporation (OPIC), and the Millennium Challenge Corporation, to prioritize loans, grants and technical support for power generation and transmission projects in sub-Saharan Africa. The President of the U.S. is allowed by the law to establish an interagency working group to coordinate efforts among the agencies."
Executive Order 13677: Climate-Resilient International Development,executive,United States of America,USA,"",Adaptation,Creating bodies and institutions|Governance and planning;Monitoring and evaluation|Governance and planning; Designing processes|Governance and planning,Decree/Order/Ordinance,"","Adaptation, Institutions / Administrative Arrangements","",23/09/2014|Law passed,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--118d25282d6147c2afb0fcaa6d9a8c17d4a6f2a1/f|,,"This executive order requires that all government agencies integrate climate resilience into their international development work to the full extent permitted by law. Most importantly, requires agencies to assess the risks to their projects and adjust the projects appropriately. It also requires government agencies to cooperate in sharing data, assessing risks, and monitoring progress in implementing climate resilience considerations. Additionally, this law establishes a Working Group on Climate-Resilient International Development, whose task is to establish guidelines for implementing this law."
Global Change Research Act of 1990,legislative,United States of America,USA,"",Adaptation,Developing plans and strategies|Governance and planning,Law,"","Adaptation, Institutions / Administrative Arrangements","",16/11/1990|Law passed,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcklGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8ebf01d9c41faff4504208f80bd953e66f0149f2/f|,,"This law established the United States Global Change Research Program, which publishes the United States' National Climate Assessment once every four years. The purpose of the Global Change Research Program is to understand and evaluate risks to the United States that stem from climate change. This law outlines specific criteria according to which the Global Change Research Program must operate, including its committee structure, funding sources and timeline for compiling reports."
Stafford Disaster Relief and Emergency Assistance Act,legislative,United States of America,USA,"",Disaster Risk Management,Creating bodies and institutions|Governance and planning;Multi-level governance|Governance and planning;Public goods - early warning systems|Direct investment,Act,"Earthquake, Flood, Drought, Storm, Windstorms, Cyclones, Tsunamis, Hurricane, Storms, Hurricanes, Landslides, Fire, Forest Wildfires",Disaster Risk Management,Economy-wide,23/11/1988|Law passed||;01/08/2016|Amendment||,Link to full text from FEMA (PDF)|https://www.fema.gov/media-library-data/1582133514823-be4368438bd042e3b60f5cec6b377d17/Stafford_June_2019_508.pdf|en,,"<div>The Homeland Security Act is the key piece of legislation that regulates the USA's response to disaster. It was adopted in 1988 and has been regularly amended since then.&nbsp;<br><br>The document notably 1) sets out the governmental approach to disaster preparedness and assistance, 2) lists the major disaster assistance programs and related procedures, and 3) lists the emergency assistance programs and related procedures.&nbsp;</div>"
Federal water pollution control act (Clean Water Act),legislative,United States of America,USA,"","Adaptation, Disaster Risk Management",Knowledge generation|Capacity-building,Act,"",Water Management,Water,25/12/1972|Law passed||;27/11/2002|Last amended||,Link to full text from EPA website (PDF)|https://www.epa.gov/sites/production/files/2017-08/documents/federal-water-pollution-control-act-508full.pdf|en,,"<div>This document aims to restore and main­tain the chemical, physical, and biological integrity of the United States' waters. It sets the rules against water pollution and water quality goals.&nbsp;<br><br>Section 104 on research, investigations, training and information stipulates in clause n.1) that authorities and associated bodies shall conduct and promote comprehensive studies of the effects of pollution. These studies shall notably consider the effect of the exploitation of fossil fuels, flood and ero­sion control.<br><br><br><br></div>"
Bipartisan Budget Act of 2018 (H.R.1892),legislative,United States of America,USA,"",Mitigation,Taxes|Incentives,"Law, Act","","Carbon Pricing, Carbon Capture And Storage","Energy, Industry",09/02/2018|Approved||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBajBOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fffcc5699c5ed06ec32a0e99134e7cfbabe350fa/PLAW-115publ123.pdf|en,,"<div>This Act is an extensive piece of legislation dealing with budget and spending at the federal level. It notably&nbsp;<br><br>An increased tax credit for carbon capture projects is set up in Title II on miscellaneous provisions, SEC. 41119 on enhancement of carbon dioxide sequestration credit and SEC. 45 Q on credit for carbon oxide sequestration. This credit concerns traditional CCS, direct air capture and carbon monoxide capture.&nbsp;</div>"
"Consolidated Appropriations Act, 2021",legislative,United States of America,USA,"","Disaster Risk Management, Mitigation",Designing processes|Governance and planning;Public goods - other|Direct investment;Capacity-building - general|Capacity-building,Act,"","Health, Energy, Biomass, Covid19, Stimulus Plan, HFCs","Economy-wide, Energy",28/12/2020|Approved||;23/09/2021|HFC rule established||,Link to full text |https://www.govtrack.us/congress/bills/116/hr133/text|en;Link to HFC rule page on US EPA website|https://www.epa.gov/climate-hfcs-reduction/final-rule-phasedown-hydrofluorocarbons-establishing-allowance-allocation|en;Final HFC rule (PDF)|https://www.epa.gov/system/files/documents/2021-09/san-8458-preamble-092221-prepub-with-header.pdf|en,,"<div>This 2,000 pages-long document implements a major government funding scheme and also includes economic stimulus provisions to respond to the coronavirus pandemic.&nbsp;<br><br>The document contains numerous climate-related clauses. It notably encourages GHG emissions reductions and promotes renewables. It contains a part on carbon use and sets processes to estimate the economic, climate, and environmental impacts of any well-integrated national carbon dioxide pipeline system. It mandates the Climate Security Advisory Council to develop a study on advisory council model for strategic or transnational threats.<br><br>The American Innovation and Manufacturing Act of 2020 was enacted as section 103 in Division S of this document (page 1074 onward). The AIM Act directs EPA to address HFCs by providing new authorities in three main areas: to phase down the production and consumption of listed HFCs, manage these HFCs and their substitutes, and facilitate the transition to next-generation technologies.&nbsp;<br><br>On September 23rd, 2021, the EPA administrator signed a notice to allow for the publication of the final rule for a 15-year phasedown of hydrofluorocarbons (HFCs). The rule sets the HFC production and consumption baseline levels from which reductions will be made, establishes an initial methodology for allocating and trading HFC allowances for 2022 and 2023, and creates a robust, agile, and innovative compliance and enforcement system. The EPA estimates that it will avoid cumulative emissions of 4,560 million metric tons of exchange value equivalent of HFCs in the United States with a present value of cumulative net benefits of $272.7 billion, from 2022 to 2050.</div>"
Executive Order 14008 on Tackling the Climate Crisis at Home and Abroad,executive,United States of America,USA,"Adaptation, Mitigation","Adaptation, Mitigation",Research and development|Capacity-building;Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning;Developing plans and strategies|Governance and planning;Provision of climate finance|Direct investment;International cooperation|Governance and planning;Capacity-building - general|Capacity-building,Decree/Order/Ordinance,"","Renewables, Paris Agreement, Finance, Health, Joe Biden, Infrastructure, Co Benefits, Jobs, National Security, Fossil Fuels Subsidies, moratorium, fossil fuels curbing measures","Adaptation, Agriculture, Buildings, Cross Cutting Area, Economy-wide, Energy, Environment, Health, Industry, LULUCF, Public Sector, Social development, Transportation",27/01/2021|Order released||,Link to official website|https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/27/executive-order-on-tackling-the-climate-crisis-at-home-and-abroad/|en,,"<div>This extensive document firstly asserts the United States' intention to put the climate crisis at the center of the country's foreign policy and national security. It focuses on capacity building and clean jobs creation. It also calls on building resilience across the globe against the adverse effects of climate change.&nbsp;<br><br>The following sections and related topics are listed below. For more on this, please consult the executive order.&nbsp;<br><br>Sec. 102 notably states that the Biden administration will proceed to rejoin the Paris Agreement. It also reorganises the executive branch so that a Special Presidential Envoy for Climate is created and the climate issue is tackled by the government, including the Treasury. It calls for the development of a climate finance plan.<br><br>Part II builds on sec. 102 and&nbsp; focuses on taking a government-wide approach to the climate crisis. Sec. 202 creates the White House Office of Domestic Climate Policy (Climate Policy Office) within the Executive Office of the President. Sec.103 creates the National Climate Task Force, to be chaired by the National Climate Advisor.<br><br>Sec. 204 commands an alignment of the management of Federal procurement and real property, public lands and waters, and financial programs to support robust climate action. This should ""help to catalyse private sector investment into, and accelerate the advancement of America’s industrial capacity to supply, domestic clean energy, buildings, vehicles, and other necessary products and materials"".<br><br>Sec. 205 mandates the creation of a Federal Clean Electricity and Vehicle Procurement Strategy within 90 days.<br><br>Sec. 206 on procurement standards aims to ensure that procurement standards be consistent with the Made in America Laws. The section targets clean energy, energy efficiency, and clean energy procurement decisions.&nbsp;<br><br>Sec. 207 mandates a change in rules to boost renewable energy on poublic lands and in offshore waters.<br><br>Sec. 208 charges the Secretary of the Interior to pause all new oil and natural gas leases on public lands or in offshore waters ""pending completion of a comprehensive review and reconsideration of Federal oil and gas permitting and leasing practices in light of the Secretary of the Interior’s broad stewardship responsibilities over the public lands and in offshore waters, including potential climate and other impacts associated with oil and gas activities on public lands or in offshore waters.""<br><br>Sec. 209 aims to eliminate fossil fuel subsidies from the federal budget starting by the request for fiscal year 2022.<br><br>Sec. 210 is on Clean Energy in Financial Management,&nbsp;<br>Sec. 211 tackles Climate Action Plans and Data and Information Products to Improve Adaptation and Increase Resilience.<br>Sec. 212 calls for millions of green jobs across communities.<br>Sec. 213 calls for sustainable infrastructure.&nbsp;<br>Sec. 214 focuses on conserving public lands and waters.<br>Sec. 215 calls for the Secretary of the Interior to elaborate a strategy within 90 days on creating a Civilian Climate Corps Initiative.<br>Following sections focus on clean energy, securing environmental justice, spurring economic opportunity, and amends the executive branch's structure in a number of ways.&nbsp;</div>"
Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis,executive,United States of America,USA,"","Adaptation, Mitigation",Knowledge generation|Capacity-building;Zoning and spatial planning|Regulation;Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning;Monitoring and evaluation|Governance and planning,Decree/Order/Ordinance,"","Fossil fuels, Keystone, Arctic, Oil and gas, moratorium, licensing, fossil fuels curbing measures","Economy-wide, Energy, Environment, Health, Public Sector",20/01/2021|Released||;01/06/2021|Interior Department Order extending moratorium on oil and gas in the Arctic||,Link to official website|https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/20/executive-order-protecting-public-health-and-environment-and-restoring-science-to-tackle-climate-crisis/|en;Link to official website|https://www.doi.gov/pressreleases/interior-department-suspends-oil-and-gas-leases-arctic-national-wildlife-refuge|en,,"<div>Passed on President Joe Biden's first day in office, this Executive order aims to undo the most adverse decisions of the Trump administration on public health, the environment, climate change and the credibility of the science community. Relevant sections include:<br><br>Sec. 2 orders an immediate review of all Trump decisions by heads of federal agencies, with proposals for revisions to be made within 30 days. This notably deals with the elaboration of standards for vehicles, appliances and buildings.<br>Sec. 3 seeks to ""restore national monuments"".&nbsp;<br>Sec. 4 repeals Trump's Order 13795 in order to reinstate the Obama decision to withdraw certain offshore areas in Arctic waters and the Bering Sea from oil and gas drilling.<br>Sec. 5 sets that accounting for the benefits of reducing climate pollution is essential. It cites the “social cost of carbon” (SCC), “social cost of nitrous oxide” (SCN), and “social cost of methane” (SCM) and establishes the Interagency Working Group on the Social Cost of Greenhouse Gases.<br>Sec. 6 revokes the March 2019 Permit for the Keystone XL Pipeline.<br>Sec. 7 revokes a number of other executive decisions. For more information, check the document.&nbsp;<br><br>On 1st June 2021, the Interior Department issued Secretarial Order 3401 which extends the suspension of oil and gas leases in the Arctic Refuge, pending a review to determine whether the leases should be reaffirmed, voided, or subject to additional mitigation measures.</div>"
Hydrogen Program Plan,executive,United States of America,USA,"",Mitigation, Developing plans and strategies|Governance and planning,Plan,"",Hydrogen,"Energy, Transport",12/11/2020|Approved||,Link to full text (PDF)|https://www.hydrogen.energy.gov/pdfs/hydrogen-program-plan-2020.pdf|en,,<div>This document outlines the strategic high-level focus areas of Department of Energy's Hydrogen Program.</div>
Executive Order on Strengthening American Leadership in Clean Cars and Trucks,executive,United States of America,USA,"",Mitigation, Standards and obligations|Regulation,Decree/Order/Ordinance,"","Fossil fuels, EV, truck","Energy, Transport",05/08/2021|Passed||,Link to full text on official website|https://www.whitehouse.gov/briefing-room/presidential-actions/2021/08/05/executive-order-on-strengthening-american-leadership-in-clean-cars-and-trucks/|en,,<div>This document aims at greening the American car and truck fleet. It notably charges the relevant ministries (namely Transportation and EPA) to establish more stringent multi-pollutant emissions standards.</div>
Executive Order on Climate-Related Financial Risk,executive,United States of America,USA,"","Adaptation, Mitigation",Provision of climate finance|Direct investment; Designing processes|Governance and planning; Knowledge sharing and dissemination|Capacity-building,Decree/Order/Ordinance,"",Procurement,Finance,20/05/2021|Approved||,Link to full text on official website|https://www.whitehouse.gov/briefing-room/presidential-actions/2021/05/20/executive-order-on-climate-related-financial-risk/|en,,"<div>This order aims to reprioritise federal investments and conduct prudent fiscal management. It declares as a policy the sound disclosure of climate-related financial risk, citing Executive Order 13707/2015 on Using Behavioral Science Insights to Better Serve the American People.&nbsp;<br><br>The document notably set rules regarding the assessment of Climate-Related Financial Risk by Financial Regulators. It charges the relevant administrations to 1) elaborate a Climate-Related Financial Risk Strategy within 120 days, 2) protect the life savings and pensions of United States workers and families from the threats of climate-related financial risk, 3) develop recommendations for the National Climate Task Force on approaches related to the integration of climate-related financial risk into Federal financial management and financial reporting, and 4) identify the primary sources of Federal climate-related financial risk exposure and develop methodologies to quantify climate risk within the economic assumptions and the long-term budget projections of the President’s Budget.&nbsp;<br><br>The order further mandates the Federal Acquisition Regulatory Council to consider requiring major Federal suppliers to publicly disclose greenhouse gas emissions and climate-related financial risk and to set science-based reduction targets, and to ensure that major Federal agency procurements minimise the risk of climate change.</div>"
Infrastructure Investment and Jobs Act,legislative,United States of America,USA,"","Adaptation, Disaster Risk Management, Mitigation",Provision of climate finance|Direct investment;  Capacity-building - general|Capacity-building,Act,"Drought, Floods, Wildfires, heat","EV, infrastructure, Rail, air pollution, Jobs, Public Transport, freight","Adaptation, Disaster Risk Management (Drm), Economy-wide, Environment, Social development, Transport, Water",15/11/2021|Signed into law||,Link to full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTRPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--91c9224030a747974ce8b1924ebb90513435d04d/BILLS-117hr3684enr.pdf|en,,"<div>This Act, also known as the Bipartisan Infrastructure Law, aims to modernise the United States' infrastructure and boost competitiveness. It specifically aims to upgrade roads, bridges and rails, expand access to clean drinking water, ensure universal access to high-speed internet, tackle the climate crisis, advance environmental justice, and invest in vulnerable communities.<br><br>According to the White House, the following notable transport and energy climate-related actions are enable by this Act:&nbsp;</div><ul><li>Invest $110 billion in additional funding to repair and rebuild roads, bridges and transformational projects with a focus on climate change mitigation, resilience, equity, and safety for all users. The legislation also includes the Safe Streets and Roads for All program to support projects to reduce traffic fatalities.</li><li>Improve transportation options for all citizens while reducing greenhouse emissions. The document includes $39 billion of new investment into public transport, representing more than 24,000 buses, 5,000 rail cars, 200 stations, and thousands of miles of track, signals, and power systems in need of replacement. In total, the new investments and reauthorisation in the Bipartisan Infrastructure Deal provide $89.9 billion in guaranteed funding for public transit over the next five years.</li><li>Invest $66 billion in additional funding into passenger rail to eliminate the Amtrak maintenance backlog, modernize the Northeast Corridor, and bring world-class rail service to areas outside the northeast and mid-Atlantic. The Act also seeks to improve the infrastructure for freight rail.</li><li>Invest $7.5 billion to build a national network of electric vehicle chargers. The legislation will provide funding for deployment of EV chargers along highway corridors to facilitate long-distance travel and within communities to provide convenient charging where people live, work, and shop. This will support the President's goal to get a network of 500,000 EV chargers.&nbsp;</li><li>Invest $65 billion to upgrade the power infrastructure to deliver clean, reliable energy across the country and deploy cutting-edge energy technology to achieve a zero-emissions future.<strong> </strong>This should allow to fund new programs to support zero-carbon solutions, and to build resilient transmission lines to facilitate the expansion of renewables and clean energy, while lowering costs.</li></ul><div><br>The Act also seeks to make the country's infrastructure resilient against the impacts of climate change, cyber-attacks, and extreme weather events, by investing over $50 billion to protect against droughts, heat, floods and wildfires, in addition to a major investment in weatherisation.</div>"
Law no. 17.283 (Environmental Act),legislative,Uruguay,URY,"",Adaptation,Designing processes|Governance and planning,Law,"","Adaptation, Institutions / Administrative Arrangements","",28/11/2008|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8920ed9437721b740e971f9b155107c6b23ce4ba/f|,,"This law declares of public interest the environment in its multiple forms. Art. 19 charges the Ministry for Housing, Territorial Management and Environment of applying the UNFCCC Convention, establishing adaptation and mitigation measures, and regulating GHG emisions."
National Climate Change Response Strategy,executive,Uruguay,URY,"Adaptation, Mitigation","Adaptation, Mitigation",Developing plans and strategies|Governance and planning;Capacity-building - general|Capacity-building,Strategy,"Floods, Droughts, Cyclones, Tsunamis, Storms, Hurricanes, Wildfires, Heat Waves And Heat Stress, Soil Erosion, Sea Level Rise","Adaptation, Institutions / Administrative Arrangements, Research And Development, Energy Supply, Energy Demand, Transportation","Agriculture, Energy, LULUCF",01/01/2010|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBanNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--164b5b858e4acaba82bcaa94b45e8118cc3d3c1c/f|,,"<div>The National Climate Change Response Strategy is Uruguay's attempt to frame mitigation and adpatation policies. It details which sectors are responsible for the national GHG emissions (energy, land use change and agriculture), lists the country's particular vulnerabilities (costal erosion, uncertainty in annual crop yields, forest fires, etc.), establishes sectoral priorities and objectives. It further discusses the sectoral and transversal management of the efforts.</div>"
"Law No. 18.195 on promotion and regulation of the production, commercialisation and use of agrofuels",legislative,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Law,"","Energy Supply, Energy Demand",Residential and Commercial,30/10/2007|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbThIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ccef5032ef0c4b2e65406b7cef9c8ec3e0df3de1/f|,,One of the stated aims of the Act is to reduce greenhouse gas emissions under the Kyoto Protocol and the UNFCCC.
"Law No. 17,503 creating the Farm Reconstruction and Development Fund",legislative,Uruguay,URY,"","Adaptation, Disaster Risk Management",Climate fund|Governance and planning,Law,"","Adaptation, Institutions / Administrative Arrangements","",29/05/2002|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbTRIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fbbe137c2d07de5f0ade9015a5e0ac8cd4b45372/f|,,Creates the Farm Reconstruction and Development Fund for producers affected by climatic disasters.
"Law No. 19,147 creating the National Environmental Observatory",legislative,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Law,"",Institutions / Administrative Arrangements,Economy-wide,18/10/2013|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbTBIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dc027bbdbd276565c3983db76c2581dd975d51d6/f|,,Tasks the Observatory with measuring greenhouse gas emissions.
Decree No. 86/012 Approving the Uruguayan Energy Savings and Efficiency Trust,executive,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Decree/Order/Ordinance,"","Institutions / Administrative Arrangements, Energy Supply, Energy Demand",Energy,22/03/2012|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6af0a7c2f934dafc9ded213f47e5883ea29eddcd/f|,,One of the Trust's responsibilities is to promote energy efficiency and the reduction of greenhouse gases.
Decree No. 50/012 for promoting and financing the acquisition of Solar Thermal Energy equipment,executive,Uruguay,URY,"",Mitigation,Provision of climate finance|Direct investment,Decree/Order/Ordinance,"",Energy Supply,Energy,22/02/2012|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdE1JIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--eec723875c625aa5c1ac6cd67d69b8e876ccc57b/f|,,The Preamble recognises that the solar equipment contributes to the mitigation of greenhouse gas emissions.
Decree No. 58/015 establishing policies for the development of the energy sector,executive,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Decree/Order/Ordinance,"",Energy Supply,Energy,17/02/2015|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f0e2778a34052f362e6bbeca40e21429b3f5f1d8/f|,,The Preamble recognises that generation of electrical energy from biomass contributes to the mitigation of greenhouse gas emissions.
Decree No. 238/009 Creating the National Climate Change Response System,executive,Uruguay,URY,"",Adaptation,Creating bodies and institutions|Governance and planning;Public goods - early warning systems|Direct investment,Decree/Order/Ordinance,"","Adaptation, Institutions / Administrative Arrangements","",20/05/2009|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1lJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4055e31e48d0ae8a5704f4e61bb838a8e7c97d93/f|,,"This Decree creates the National Climate Change Response System in order to coordinate and plan the public and private responses necessary to prevent the risks, to mitigate and to adapt to climate change. The System will be under the supervision of the Ministry of Housing, Territorial Planning and the Environment. The Decree further establishes a Commission in charge of coordinating action entering within the scope of the System."
Decree No. 172/016 creating the National Environmental System,executive,Uruguay,URY,"",Adaptation,Education and training|Capacity-building;Creating bodies and institutions|Governance and planning; Designing processes|Governance and planning,Decree/Order/Ordinance,"",Institutions / Administrative Arrangements,Water,06/06/2016|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1VJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0b583d52c9627f5e62691a7a6af09d7c1ce8c7e4/f|,,"This Decree creates the National Environmental System and taks it with strengthening, articulating and coordinating national public policies in the areas of environment, water and climate change. The decree notably charges the newly created institution to design policies to strenghten adaptation to climate change, generate related information, promote education."
Law No. 19.158 creating the Uruguay Institute of Meterology,legislative,Uruguay,URY,"",Mitigation,Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning,Law,"","Institutions / Administrative Arrangements, Research And Development",Economy-wide,25/10/2013|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d7c2e924ce3ec5cbb99c718f8d4934ff6465bd23/f|,,Tasks the Institute with providing technical and scientific advice to the Executive Branch on issues related to climate change.
Law No. 19.126 on Mining Activities in Gran Porte,legislative,Uruguay,URY,"",Adaptation,Designing processes|Governance and planning;Climate fund|Governance and planning,Law,"","Adaptation, Institutions / Administrative Arrangements","",09/11/2013|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8e850d212735e5cc4e7aa1685bd9aec06ab36d64/f|,,Creates an Intergenerational Sovereign Fund for Investment which may allocate resources to projects to adapt and mitigate the impact of climate change.
Law no. 18.719 Approving the National Budget 2010-14 and Law no. 19.355 on the Budget 2015-19,legislative,Uruguay,URY,"",Adaptation,Provision of climate finance|Direct investment,Law,"","Adaptation, Institutions / Administrative Arrangements","",27/12/2010|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbU1IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--88b4ceafe8ced0cfc07c83666687f032e90b2604/f|,,"Has references to climate change, mitigation and adaptation."
Law No. 18.597 on the Efficient Use of Energy in the National Territory,legislative,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Law,"","Institutions / Administrative Arrangements, Energy Supply, Energy Demand",Energy,21/09/2009|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd21d85fcbdef3cab043305e56c7c70a5f3e5655/f|,,"Declares the efficient use of energy to be in the national interest, lays down rules for its promotion and regulation. Has references to reduction of greenhouse gas emissions."
Law No. 18.585 on Solar Energy,legislative,Uruguay,URY,"",Mitigation,Research and development|Capacity-building,Law,"","Research And Development, Energy Supply",Energy,18/09/2009|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--da03ebf63e8bacc49336818046b6a0ca564bbdc4/f|,,"Declares research, development and training in the use of solar energy to be in the national interest."
Climate-Smart Agriculture Policy 2010,executive,Uruguay,URY,"",Mitigation,Designing processes|Governance and planning,Policy,"","Institutions / Administrative Arrangements, Energy Supply","",25/12/2010|Law passed,,,"Mentioned in INDC and other online sources, e.g. news reports (http://www.espectador.com/economia/341992/desafios-de-uruguay-para-cumplir-con-el-acuerdo-climatico-global). Not available online."
