Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Notice No. 10 of 2014 on VAT Policy of Large-scale Hydropower Enterprises,2015,CHINA,Notice on VAT Policy of Large-scale Hydropower Enterprises outlines VAT levy structure for large hydropower dams between 2015 and 2017.,https://policy.asiapacificenergy.org/node/123,National,Other,Power,"Power, Renewable, Hydropower",APEP
Interim Measures for Regulation of New Power Grid Access,2014,CHINA,"The Interim Measures for Regulation of New Power Grid Access aim to regulate the access of new power sources (including expansion and reconstruction) into the power grid system, and to ensure fair and non-discriminatory access to the power grid of new power sources.",https://policy.asiapacificenergy.org/node/122,National,Other,Power,"Coal, Power, Gas, Nuclear, Renewable, Hydropower",APEP
Notice No. 1216 of 2014 on Offshore Wind Power Tariff Policy,2014,CHINA,"Notice No. 1216 of 2014 on Offshore Wind Power Tariff Policy establishes tariff rates for offshore wind projects prior to 2017, and the method of determination for projects put into operation in 2017 or later.",https://policy.asiapacificenergy.org/node/121,National,"Overarching Policy, Other",Power,"Power, Renewable, Wind",APEP
Chinese Renewable Energy (RE) Law Management Guidelines,2012,CHINA,Provides administrative guidelines on the development of renewable energy projects under national and provincial planning.,https://policy.asiapacificenergy.org/node/120,National,Guideline,"Energy, Power","Power, Renewable, Hydropower, Wind",APEP
Electric Power Law No. 60 of 1995 of the People's Republic of China,1996,CHINA,"This Law applies to activities concerning the construction, generation, supply and consumption of electric power.",https://policy.asiapacificenergy.org/node/119,National,Law,Power,"Power, Renewable",APEP
Several Opinions of State Council on Encouraging and Guiding Healthy Development of Private Investment,2010,CHINA,Several Opinions of State Council on Encouraging and Guiding Healthy Development of Private Investment outline areas where the government is encouraging private investment.,https://policy.asiapacificenergy.org/node/118,National,Other,"Energy, Power, Multi-Sector","Oil, Power, Gas, Renewable, Bioenergy, Geothermal, Solar, Wind",APEP
Interim Measures for Management of the Development and Construction of Off-Shore Wind Power,2010,CHINA,"The Interim Measures for Management of the Development and Construction of Off-Shore Wind Power aim to standardize management of the development and construction of off-shore wind power projects, promote off-shore wind power's orderly development, standardized construction and sustainable development.",https://policy.asiapacificenergy.org/node/116,National,Other,Power,"Power, Renewable, Wind",APEP
11th Five-Year Plan (2006-2010) for National Economic and Social Development,2006,CHINA,"The Five-Year Plan for National Economic and Social Development, or the Five-Year Plan, mainly aims to arrange national key construction projects, manage the distribution of productive forces and individual sector’s contributions to the national economy, map the direction of future development, and set targets.",https://policy.asiapacificenergy.org/node/115,National,Overarching Policy,"Energy, Power, Industry, Transport, Building, Multi-Sector","All, Coal, Oil, Power, Gas, Nuclear, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wave and Tidal, Wind",APEP
Electric Power Supervision Regulations (Order of the State Council No. 432 of 2005),2005,CHINA,"The Electric Power Supervision Regulation outlines the electrical power supervisory system, including institutional arrangements, duties, and measures.",https://policy.asiapacificenergy.org/node/114,National,Rule/Regulation,Power,Power,APEP
Interim Measure of Renewable Energy Power Price Additional Subsidy Funds Management,2012,CHINA,"Interim Measure of Renewable Energy Power Price Additional Subsidy Funds Management outline the measures to apply for and receive subsidies for renewable energy production, as well as reporting procedures.",https://policy.asiapacificenergy.org/node/113,National,"Rule/Regulation, Other","Energy, Power","Power, Renewable",APEP
Resolution of the Cabinet of Ministers No. 245 of 2009 on the Approval of Rules of Use of Electric and Thermal Energy,2009,UZBEKISTAN,"The present policy document is a specific uniform regulation imposed by the Cabinet of Ministers to determine the rules for electric and thermal energy utilization, regulation and control in the Republic of Uzbekistan. The policy identifies a number of priority areas, specifically, ensuring reliable energy access and supply, differentiation of energy tariffs, establishment of energy audit requirements, promotion of private sector participation. Moreover, technical specifications are provided for power grid operation, the policy imposes responsibility on parties in case of violations of established norms and non-compliance with standards. A strong emphasis is made on the need to ensure compliance with certification standards of energy-consuming appliances and equipment.",https://policy.asiapacificenergy.org/node/112,National,"Rule/Regulation, Other","Power, Other","All, Power",APEP
Law No. 412-I of 1997 on the Rational Use of Energy,1997,UZBEKISTAN,"The present Law establishes general legal frameworks for energy resources conservation and the sustainable use of energy in the Republic of Uzbekistan. In the framework of the present Law, activities related to extraction, production, storage, supply, distribution and consumption of energy are defined. Sustainable energy policies are aimed at ensuring efficient and environmentally sound energy production and utilization practices; facilitating development and application of energy efficient technologies, conservation of conventional energy sources; ensuring accuracy and uniformity of norms and standards; government regulation in the area of energy production and utilization. Particular section of the Law covers the area of energy efficiency standardization. In accordance with the Law, energy efficiency standards are to be set for technological processes, heat and water supply, cooling, electricity supply, etc.",https://policy.asiapacificenergy.org/node/110,National,Law,"Energy, Power, Transport, Building, Multi-Sector, Other","All, Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
Law No. ZRU-225 of 2009 on Electricity,2009,UZBEKISTAN,"Uzbekistan is undergoing an energy sector restructuring with subsequent unbundling of monopolistic activities (dispatching and transmission) and further introduction of market-related elements in the electricity sector. The Power Act of the Republic of Uzbekistan is introduced to define legal, organizational, production and environmental aspects of electricity resources utilization. Within the framework of the present Act, government regulatory mechanisms related to electricity production, supply and use are specified.",https://policy.asiapacificenergy.org/node/109,National,Law,"Energy, Power","Power, Renewable, Hydropower",APEP
Decree of the President No. UP-2812 of 2001 on Deepening Economic Reforms in the Energy Sector of the Republic of Uzbekistan,2001,UZBEKISTAN,"The Presidential Decree “On Deepening Economic Reforms in the Energy Sector” was issued with an aim to deepen market reforms in the energy sector, improve management and increase effectiveness of energy system enterprises, guarantee stability of national energy systems along with meeting electric power needs of the Republic of Uzbekistan. The priorities of economic activities aimed at reforming the energy sector comprise accelerated denationalization and privatization of social infrastructure entities, wide attraction of foreign investments in privatization processes of energy sector enterprises, re-construction, technical modernization and re-equipment, further development of generating capacities and electrical networks. Moreover, in the framework of the Presidential Decree the State Joint-Stock Company “Uzbekenergo” is to be established on the basis of the Ministry of Energy and Electrification of the Republic of Uzbekistan. In phases, thermoelectric power stations, heat and power plants, regional enterprises of electrical networks are expected to be transformed into joint-stock companies. Heat and power plants will be privatized on case-by-case projects basis.",https://policy.asiapacificenergy.org/node/108,National,Decree,"Energy, Power","All, Power",APEP
Law No. 29 of 2002 on Energy Conservation,2002,TAJIKISTAN,The present Law regulates relations between legal entities and individuals in the field of energy efficiency in order to enhance the effectiveness of usage of energy resources and products.,https://policy.asiapacificenergy.org/node/107,National,Law,"Energy, Power","All, Power, Gas, Renewable, Bioenergy, Other",APEP
Law No. 33 of 2000 on Energy (2013 Ed.),2013,TAJIKISTAN,"The Energy Law establishes legal and organizational frameworks for national regulation in the field of state supervision, investment, land management, and consumer rights protection. The present Law identifies key organizational and legal principles for regulation of energy related economic activities in the Republic of Tajikistan. It therefore provides regulatory and strategic frameworks for establishing pro-institutional and market-oriented mechanisms aimed at ensuring stability and development, protection of interests of energy consumers.",https://policy.asiapacificenergy.org/node/106,National,Law,"Energy, Power","All, Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wave and Tidal, Wind, Other",APEP
Law No. 69 of 2004 on the Use of Nuclear Energy,2004,TAJIKISTAN,"In accordance with Tajikistan Nuclear Power Law, atomic energy regulation comprises the following areas of action: 1) provision of nuclear and radiation safety, social and environmental protection from radiation hazards; 2) guarantee of accessibility, objectivity and timeliness of the information delivery on the usage of the nuclear energy, social and environmental impacts; 3) involvement of the public, commercial and non-profit organizations, other legal entities in deliberations on state policy, developing regulation and legislative acts of the Republic of Tajikistan. The objectives of legal relation arising on the use of nuclear energy are as follows: establish legal frameworks in the field nuclear energy use and state regulatory system to guarantee safety of atomic energy production; define the rights, duties and responsibilities of state regulatory bodies, local authorities, organizations and other legal entities and individuals. The law defines the rights of the authorized bodies, public organizations, and specifies conditions of operation related to nuclear energy utilization.",https://policy.asiapacificenergy.org/node/103,National,Law,Energy,Nuclear,APEP
National Development Strategy of the Republic of Tajikistan until 2015,2007,TAJIKISTAN,"The National Development Strategy of the Republic of Tajikistan for the period to 2015 (further – NDS) is adopted to achieve long-term national development objectives. The NDS is the principal strategic document that defines the priorities and general thrust of government policy, which is focused on achieving sustainable economic growth, expending the public’s access to basic social services and reducing poverty. In the framework of the NDS the National Development System is envisaged to be created, the system is expected to have a clearly defined and vertically organized structure of strategic documents, programmes and plans (programme goals and tasks, planning and plan implementation, quality oversight and performance monitoring) on the one hand, and corresponding administrative structures for the management of this process – both vertically and horizontally, on the other hand. The NDS is the basis for all the state, sectoral and regional conceptual frameworks, strategies, programmes and plans for the country’s development currently in place and under development, as well as the activities of all government agencies. The NDS serves as a tool for engaging in a dialogue with the business community and non-governmental organizations. The National Development Strategy envisages the development and implementation of technical and financial programmes in the Republic of Tajikistan.",https://policy.asiapacificenergy.org/node/102,National,Plan/Strategy,"Power, Multi-Sector","All, Power, Renewable, Hydropower, Other",APEP
Law No. 983 of 1994 on Subsoil (2013 Ed.),2013,TAJIKISTAN,"The subsoil legislation of the Republic of Tajikistan is based on the Constitution of the Republic of Tajikistan and consists of the present Law and other regulatory legal acts of the Republic of Tajikistan, and the international legal acts recognized by the Republic of Tajikistan. The subsoil of the Republic of Tajikistan is an exclusive object of state ownership, the following proprietors can be entitled with the right of ownership: 1. government bodies through delegation of ownership rights; 2. consumers of natural resources through delegation of perpetual rights or ensuring the rights for temporary use of natural resources. In the Republic of Tajikistan private ownership of mineral resources is prohibited. Actions outraging expressly or implicitly the right of state ownership for natural resources are prohibited. Issuance of licenses (licensing) for the ownership of mineral resources is implemented in accordance with the Law of the Republic of Tajikistan “On Licensing Certain Types of Activities”. Exploration and use of mineral resources on the territory of towns, suburban areas, industrial and transport enterprises can be prohibited totally or partially, if the exploration poses a threat to people’s live and health causes damage to economic entities or the environment. The Law defines the competence of the state executive bodies and local authorities, the procedure of permit issuance for the use of natural resources, liability, and other issues.",https://policy.asiapacificenergy.org/node/100,National,Law,Energy,"Coal, Oil, Gas",APEP
National Environmental Program of the Republic of Tajikistan for 2009-2019,2009,TAJIKISTAN,"The National Environmental Program of the Republic of Tajikistan for 2009 – 2019 (further – Program) is the priority document of the state defining the main directions of the sustainable society development, maintaining balance between interests of natural resources development and users. The Program defines relations between consumers of natural resources and the environment, balanced development of the society, sustainable use of natural resources, and restoration of damaged environment. Implementation of activities defined by the Program allows to resolve the issues of sustainable use of natural resources and environmental protection. One of the key Program objectives is to conduct environmental activities, strengthen emission reductions monitoring, usage of low-waste technologies in all areas (water, air, mineral resources) and industries. The Program does not specify executors and timelines, as well as sources of funding.",https://policy.asiapacificenergy.org/node/99,National,Programme,Multi-Sector,"All, Other",APEP
8th Five Year Plan (1998 - 2003),1998,BHUTAN,"Outlines objectives and strategies related to i) self-reliance, ii) sustainability, iii) preservation and promotion of traditional cultural values, iv) national security, v) balanced development, vi) improving the quality of life, vii) institutional strengthening and human resource development, viii) decentralization and community participation, ix) privatisation and private sector development. Provides a macro-economic outlook, followed by detailed policy descriptions. Chapter 24 is devoted to the energy sector, and includes summary of achievements of 7th FYP as well as new objectives under the 8th FYP.",https://policy.asiapacificenergy.org/node/98,National,Plan/Strategy,"Power, Multi-Sector","All, Power, Renewable, Hydropower",APEP
7th Five Year Plan (1992-1996),1992,BHUTAN,The 7th Five Year Plan provides a framework for the policies to be followed and for the allocation of resources during the Plan period.,https://policy.asiapacificenergy.org/node/97,National,Plan/Strategy,"Power, Multi-Sector","All, Power, Renewable, Hydropower",APEP
6th Five Year Plan (1987-1992),1987,BHUTAN,"Outlines objectives and strategies related to i) ""Strengthening of the Development Administration of the Government; ii) Preservation and Promotion of National Identity; iii) Mobilization of Internal Resources; iv) Enhancement of Rural Incomes; v) Improvement of Rural Housing and Resettlement; vii) Development of Human Resources; viii) Promotion of People's Participation; ix) Promotion of National Self-reliance.",https://policy.asiapacificenergy.org/node/96,National,Plan/Strategy,"Power, Multi-Sector","All, Power, Renewable, Hydropower",APEP
4th Five Year Plan (1976 – 1981),1976,BHUTAN,"This document outlines the Salient Features of the 4th Five Year Plan. The major effort during Fourth Plan is concentrated towards growth of the Agriculture, Livestock, Forests and Small Industries sectors of the economy.",https://policy.asiapacificenergy.org/node/95,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
3rd Five Year Plan (1971 – 1976),1971,BHUTAN,"The Plan outlines development priorities in the areas of: agriculture, power, industry and mines, transport and communication, social services and miscellaneous.",https://policy.asiapacificenergy.org/node/94,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
2nd Five Year Plan (1967 – 1971),1967,BHUTAN,"The Second Plan represented a widening of priorities arising from a significant drop in the share of the road sector to 40% of the overall outlay. Nevertheless, roads continued to receive the highest priority and for the first time, agriculture became a priority area receiving 10% of the overall outlay. The Plan outlines the economic status and development priorities in the areas of: agriculture, animal husbandry, forestry, power, industry and mines, public works, road transport, post telegraphs, telecommunications, education, health, information publicly, development headquarters, ancient monuments, preservation and others.",https://policy.asiapacificenergy.org/node/93,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
5th Five Year Plan (1981 – 1986),1981,BHUTAN,"The specific objectives for the Fifth Plan are as follows: a) to achieve an acceptable and sustainable rate of growth of the economy. b) to attain over time, economic self-reliance and specifically in the Fifth Plan, to attain a level of internal resources generation adequate to cover the normal maintenance expenditure of Government. c) to achieve greater distributional equity among various sections and regions. The Plan outlines the economic status and development priorities in the areas of: agriculture, animal husbandry, forestry, power (excluding the Chukha Project), industry and mines, public works, civil aviation, posts telegraphs, communications, tourism, education, health, information publicity, headquarters, and miscellaneous.",https://policy.asiapacificenergy.org/node/92,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Hydropower",APEP
1st Five Year Plan (1961-1966),1961,BHUTAN,"The 1st Five Year Plan (1961-1966) set Bhutan on the way to planned national development. The Plan aimed at creating in the country basic infrastructural facilities like roads, power, communication system, transport , agriculture and animal husbandry.",https://policy.asiapacificenergy.org/node/91,National,Plan/Strategy,"Power, Multi-Sector","All, Power, Renewable, Hydropower",APEP
Bhutan Electricity Authority Distribution Code (Amendment) Regulation 2020 (Distribution Code 2020),2020,BHUTAN,Bhutan Electricity Authority Distribution Code (Amendment) Regulation 2020 (Distribution Code 2020) is to enumerate the terms and conditions of supply of electrical energy to Customers served by Distribution Licensees and to provide broad guidelines to both Customers and Distribution Licensees in ensuring uniform practices of standard of supply and rules in extending and maintaining the electricity supply.,https://policy.asiapacificenergy.org/node/90,National,Rule/Regulation,Power,Power,APEP
"Bhutan Electricity Authority - Accounting and Reporting Regulations, 2006",2006,BHUTAN,"The purpose of this regulation is to provide for an efficient supervision of Licensees by the Authority, including reporting of financial and technical data related to electricity generation, transmission, distribution and supply and system operation.",https://policy.asiapacificenergy.org/node/89,National,Rule/Regulation,Power,Power,APEP
Bhutan Electricity Authority - Tariff Determination Regulation 2016,2016,BHUTAN,"The purpose of this regulation is to provide for the determination of electricity prices in accordance with the Electricity Act of Bhutan, 2001.",https://policy.asiapacificenergy.org/node/88,National,Rule/Regulation,Power,Power,APEP
"Bhutan Electricity Authority - Safety Regulation, 2008",2008,BHUTAN,"The Safety Code provides the minimum safety requirements to be met by Licensees, a set of Safety Rules that employees and contractors are required to follow, conditions of Safety Audits, Investigations of Serious Safety Incidents, Reporting, and Awareness",https://policy.asiapacificenergy.org/node/87,National,Rule/Regulation,Power,Power,APEP
Bhutan Electricity Authority - Safety Code 2008,2008,BHUTAN,"This Safety Code specifies the Authority’s minimum electrical safety requirements for the design, construction, operation and maintenance of electric power plant and equipment under the control of Licensees.",https://policy.asiapacificenergy.org/node/86,National,Code,Power,Power,APEP
"Bhutan Electricity Authority - Regulatory Fees Regulations, 2006",2006,BHUTAN,"Bhutan Electricity Authority - Regulatory Fees Regulations, 2006, provides fee and charges schedule for permits, licence applications, licence fees, and miscellaneous.",https://policy.asiapacificenergy.org/node/85,National,Rule/Regulation,Power,Power,APEP
"Grid Code Regulation, 2008",2008,BHUTAN,"The purpose of this regulation is to establish the basic rules, procedures, guidelines and standards to be followed by the various Licensees and all power utilities connected to the Transmission System so as to plan, develop, maintain and ensure secure, reliable and efficient operation of the Transmission System in economic manner.",https://policy.asiapacificenergy.org/node/84,National,Rule/Regulation,Power,Power,APEP
Integrated Energy Management Master Plan for Bhutan,2010,BHUTAN,"The objective of the IEMMP is to develop an all-encompassing framework, which would give a holistic overview of the demand and supply scenarios, along with recommending strategies (up to 2020) for the sustainable supply of energy for the socio-economic development of the kingdom, both at the rural and urban levels. This integrated approach provides various policy options, in line with the current policies and Vision 2020, for future development of the kingdom. The document contains a number of recommendations.",https://policy.asiapacificenergy.org/node/83,National,Plan/Strategy,"Energy, Power","All, Coal, Oil, Power, Gas, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
"Eleventh Five Year Plan, Volume 2: Programme Profile",2013,BHUTAN,"Volume II of the Eleventh Five Year Plan document contains the programme profiles of the Ministries, Constitutional Bodies, Autonomous and other Government Agencies. These programmes are organized and presented in the following summary table on the basis of the twenty strategic sectors. These programme profiles consist of the justification for the programme, the strategies to achieve the outcomes and outputs. In line with the results based approach to planning, it also spells out the outcomes and outputs with their key performance indicators, targets and baselines. Contains details of the Energy Programme designed to strengthen the institutional capacity of the energy sector to deliver the mandate of 10,000 MW installed capacity by 2020 and ensure its sustainability.",https://policy.asiapacificenergy.org/node/82,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Bioenergy, Hydropower, Solar, Wind",APEP
"Bhutan 2020: A Vision for Peace, Prosperity and Happiness, Part II",1999,BHUTAN,"Bhutan 2020: A Vision for Peace, Prosperity and Happiness, Part II outlines the 2020 Vision's goals, objectives priorities and principles in several key development areas.",https://policy.asiapacificenergy.org/node/81,National,"Overarching Policy, Other",Power,"Power, Renewable, Hydropower, Other",APEP
"Bhutan 2020: A Vision for Peace, Prosperity and Happiness, Part I",1999,BHUTAN,Document takes stock of the current development situation and the challenges that await the nation ahead.,https://policy.asiapacificenergy.org/node/80,National,"Overarching Policy, Other","Multi-Sector, Other","Power, Renewable, Hydropower, Other",APEP
"The National Environment Protection Act, 2007",2007,BHUTAN,"An act that outlines principles of environmental protection; constitution, functions and powers of authorities; protection of environmental quality;protection of forest, biodiversity and integrity; environmental financing and incentives; right to environmental information and citizens' protection, procedure for inspections and verification; enforcement, offences and penalties; and miscellaneous.",https://policy.asiapacificenergy.org/node/79,National,Act,"Energy, Other",Other,APEP
Renewable Natural Resources (RNR) Research Policy of Bhutan,2011,BHUTAN,"The Renewable Natural Resource Research Policy of Bhutan responds to the demand in the 10th Five Year Plan and beyond to determine the progress that the research system has made in meeting the objectives set forth in these new areas, and to provide guidance on the management and conduct of RNR research. In doing so, the policy focuses on new ways to coordinate, prioritize, plan and programme, organize, finance, manage and implement RNR research to prepare the system and its clients for the challenges of the 21st century.",https://policy.asiapacificenergy.org/node/78,National,Overarching Policy,Energy,"Renewable, Bioenergy",APEP
Bhutan Green Building Design Guidelines,2013,BHUTAN,"The Bhutan Green Building Guidelines has been developed by the Ministry of Works and Human Settlements in line its strategies of positive design and construction in Bhutan that protects environmental conservation. The Bhutan Green Building Guidelines provides information, recommendations, and guidance to incorporate sustainable green principles into new design and construction of buildings in Bhutan. The Bhutan Green Building Guidelines will not be mandatory.",https://policy.asiapacificenergy.org/node/76,National,Guideline,Building,"Renewable, Solar, Other",APEP
National Human Settlement Policy of Bhutan 2019,2019,BHUTAN,"The National Human Settlement Policy of Bhutan 2019 is to provide a framework for planning and development of environmentally sustainable, culturally and economically vibrant and disaster resilient human settlements.",https://policy.asiapacificenergy.org/node/74,National,Overarching Policy,"Power, Multi-Sector, Other","All, Power, Renewable, Solar, Other",APEP
"Eleventh Five Year Plan (2013 - 2018), Volume 1: Main Document",2013,BHUTAN,"The Eleventh Five Year Plan is the second five year plan to be implemented since the introduction of Democratic Constitutional Monarchy in 2008. It presents the overall development planning framework, efforts towards operationalizing Gross National Happiness (GNH) and key milestones to be achieved by 2020. It provides an overview of demographic and socio-economic development trends, national objectives, local plans and KPIs. It includes a chapter on the Hydropower, Renewable Energy and Hydromet Sector.",https://policy.asiapacificenergy.org/node/73,National,Plan/Strategy,Multi-Sector,"All, Power, Renewable, Hydropower",APEP
Notice No. 298 of 2012 on Declaration of Distributed Large-Scale Photovoltaic Power Generation Demonstration Areas,2012,CHINA,"Photovoltaic power generation is economically viable in middle and east regions of China due to relatively high electricity price thus is ready for large-scale application. To further implement Renewable Energy Development 12th FYP, promote sustainable development of solar power industry, National Energy Administration decides to construct some photovoltaic power generation demonstration areas.",https://policy.asiapacificenergy.org/node/71,National,Other,Power,"Power, Renewable, Solar",APEP
Notice No. 514 of 2005 on the Implementation Measures for the Reform of Electricity Price,2005,CHINA,"These Measures are formulated according to the relevant state laws and administrative regulations, the Notice of the State Council on Printing and Distributing the Plans Regarding the Restructuring of the Power Industry(No.5 [2002] of the State Council) and the Notice of the General Office of the State Council on Printing and Distributing the Plans Regarding the Power Price Reform (No.62 [2003] of the General Office of the State Council) for the purpose of perfecting the mechanisms of grid power price setting and promoting the restructuring of the power industry.",https://policy.asiapacificenergy.org/node/67,National,Decree,Power,"Power, Renewable, Geothermal, Hydropower, Solar, Wind",APEP
Announcement on the Catalogue of Energy-saving and New-energy Vehicles Entitled to Vehicle and Vessel Tax Reduction and Exemption (First Group),2012,CHINA,"To promote the development of energy-saving and new-energy automotive industry, in accordance with the provision in Article 4 of the ""Law of the People's Republic of China on Vehicle and Vessel Tax"" and in Article 10 of the ""Regulation on the Implementation of the Vehicle and Vessel Tax Law of the People's Republic of China"", upon approval by the State Council, the catalogue of the first group of energy-saving and new-energy vehicles entitled to vehicle and vessel tax reduction and exemption is hereby announced as follows. As of January 1, 2012, the vehicle and vessel tax shall be reduced by half for energy-saving vehicles; the vehicle and vessel tax shall be exempt for new-energy vehicles.",https://policy.asiapacificenergy.org/node/66,National,Other,Transport,"Renewable, Other",APEP
Interim Measures for the Administration of the Collection and Use of the Renewable Energy Development Fund,2012,CHINA,"To promote the development and utilization of renewable energy, the Ministry of Finance, the National Development and Reform Commission and the National Energy Administration have jointly formulated the Interim Measures for the Administration of the Collection and Use of the Renewable Energy Development Fund in accordance with the relevant provisions of the Renewable Energy Law of the People's Republic of China.",https://policy.asiapacificenergy.org/node/65,National,Other,"Energy, Power","Power, Renewable",APEP
Interim Measures for the Management of Energy Conservation and Emission Reduction Research Cooperation Funds of Chinese and European Small and Medium Enterprises (SME),2011,CHINA,"To regulate and strengthen the administration of the Sino-EU SME (small and medium enterprise) Energy Conservation and Emission Reduction Scientific Research Collaboration Fund, and improve the efficient use of the Fund, the Ministry of Finance and the Ministry of Science and Technology formulated the Interim Administrative Measures for the Sino-EU SME Energy Conservation and Emission Reduction Scientific Research Collaboration Fund.",https://policy.asiapacificenergy.org/node/64,National,Other,"Energy, Other",Other,APEP
Administrative Measures for the Financial Incentive Funds for Energy Conservation Technology Retrofits,2011,CHINA,"To accelerate the promotion of advanced energy conservation technologies, improve the efficiency of energy utilization, and realize the binding target of reducing energy consumption per unit of GDP by 16% during the “12th Five-Year Plan” period, and in accordance with the Energy Conservation Law and the Outline of the 12th Five-Year Plan for National Economic and Social Development, the Central Treasury shall, by means of “replacing subsidies with rewards,” continue to arrange special funds to provide appropriate support and rewards for enterprises to carry out energy conservation technology retrofits. To strengthen the administration of financial funds and improve the efficiency of fund utilization, we have formulated the Administrative Measures for the Financial Incentive Funds for Energy Conservation Technology Retrofits for your compliance and implementation.",https://policy.asiapacificenergy.org/node/63,National,Other,Energy,"All, Other",APEP
Notice No. 2474 of 2009 on Issues concerning Regulating the Management of Prices for Electricity Trading,2009,CHINA,"To further regulate conduct regarding prices for electricity trading, maintain normal order in market trading, and promote the optimized allocation of electric power resources, the relevant issues are notified to The development and reform commissions, economic and trade commissions (economic commissions) and price bureaus of all provinces, autonomous regions and municipalities directly under the Central Government; all regional electricity regulatory bureaus, and all urban electricity regulatory offices; State Grid Corporation of China; China Southern Power Grid Co., Ltd.; Inner Mongolia Electric Power Corporation; China Huaneng Group; China Datang Corporation; China Huadian Corporation; China Guodian Corporation; and China Power Investment Corporation.",https://policy.asiapacificenergy.org/node/62,National,Other,Power,"Coal, Power, Nuclear, Renewable, Hydropower",APEP
Measures for the Administration of Energy Efficiency Labels,2005,CHINA,"The ""Measures for the Administration of Energy Efficiency Labels"" were published in order to strengthen the administration of energy conservation, propel the progress of energy conservation technologies, and improve energy efficiency. The said measures have been formulated in accordance with the ""Law of the People's Republic of China on Energy Conservation"", the ""Product Quality Law of the People's Republic of China"" and the ""Regulation of the People's Republic of China on Certification and Accreditation"".",https://policy.asiapacificenergy.org/node/61,National,Other,"Energy, Power","All, Power, Other",APEP
Trial Measures for Pricing and Cost Sharing Management for Renewable Energy Power,2006,CHINA,"To enhance the development and utilization of renewable energy, and according to the Renewable Energy Law of the People's Republic of China, the National Development and Reform Commission (NDRC) has formulated the Trial Measures for the Management of Prices and Allocation of Costs for Electricity Generated from Renewable Energy. Scope of the measures includes: wind power, biomass power (direct combustion from agricultural and forestry wastes, gasification power generation, waste incineration and landfill gas and biogas), solar power, ocean power generation and geothermal power generation.",https://policy.asiapacificenergy.org/node/60,National,Other,Power,"Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind",APEP
Regulations No. 531 of 2008 on Energy Saving by Public Institutions,2008,CHINA,"To promote energy conservation in state-funded institutions, improve their energy efficiency and give play to their model role in the energy conservation of the whole country, this Regulation is formulated in accordance with the Energy Conservation Law of the People's Republic of China. The term “state-funded institution” as mentioned in this Regulation refers to the state organs, public institutions and incorporations which are all or partly funded by the state treasury.",https://policy.asiapacificenergy.org/node/59,National,Rule/Regulation,Building,"All, Other",APEP
Energy-Saving and New Energy Automobile Industry Development Plan (2012-2020),2012,CHINA,"The automobile industry is a major pillar industry for the national economy, and plays an important role in the national economy and social development. Along with the sustained and rapid growth of the Chinese economy and accelerated promotion of urbanization in China, the demand for automobiles will still keep growing in a relatively long period of time, and the resulting energy shortage and environmental pollution issues will become more conspicuous. To accelerate the fostering and development of energy-saving and new energy automobiles is not only an imperative task for effectively easing pressure on both energy and environment and promoting sustainable development of the automobile industry, but is also a strategic approach for accelerating the systemic transformation and upgrading of the automobile industry and fostering new economic growth points and advantages in international competition. To implement the State Council's decisions and arrangements for the development of strategic emerging industries and strengthening energy conservation and emission reduction and accelerate the fostering and development of the energy-saving and new energy automobile industry, this Planning has been formulated for the period of 2012-2020.",https://policy.asiapacificenergy.org/node/58,National,Plan/Strategy,Transport,"Oil, Renewable, Other",APEP
Energy Conservation Law No. 90 of 1997,1998,CHINA,"This Law is formulated in order to promote Energy conservation by all sectors of the society, increase the efficiency in the use of Energy and its economic results, protect the environment, ensure national economic and social development, and meet the people's needs in everyday life.",https://policy.asiapacificenergy.org/node/56,National,Law,Energy,"All, Other",APEP
Regulation No. 530 of 2008 on Energy Conservation in Civil Buildings,2008,CHINA,"The regulation is established to strengthen energy management of civil buildings, reduce energy consumption during operation of civil buildings and increase energy efficiency. Civil buildings in the regulation refer to residential buildings, office buildings for State agencies, and buildings for commerce, services, education, and public health, as well as other such public buildings.",https://policy.asiapacificenergy.org/node/54,National,Rule/Regulation,Building,"Power, Renewable, Geothermal, Solar",APEP
