Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Austria,11,Modal shift to environmentally friendly transport modes,"The programme ‘klimaaktiv mobil’ for mobility management and awareness raising is an essential tool to promote environmentally friendly transport modes like public transport, cycling and walking. The cornerstones of ‘klimaaktiv mobil’ are the funding programme for businesses, communities and associations, target group-oriented counselling programmes, awareness-raising initiatives, partnerships, and training and certification initiatives. With respect to freight transport, investment support for corporate feeder lines aims at shifting transport activities from road to rail.",National,Single,526,Single PaM,Economic; Information,Implemented,ESD/ESR,Transport,Transport: Modal shift to public transport or non-motorized transport,,CO2,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; National government: Ministry of Finance,2005,,Yes,EurovignetteÂ Directive on road infrastructure charging 2011/76/EUÂ  ,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,480,,,460,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,12,Further enhancement of fuel efficiency of road transport,Enhancing energy efficiency in the transport sector by fostering a sustainable electrification of the austrian vehicle fleet,National,Single,526,Single PaM,Education; Fiscal; Planning; Regulatory,Planned,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Electric road transport,Transport: Improved transport infrastructure",,CO2,,,,,Companies / businesses / industrial associations; National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2021,2030,Yes,"Regulation 2019/631 setting CO2 emission performance standards for new passenger cars and for new light commercial vehicles, andÂ repealingÂ Regulations (EC) No 443/2009 and (EU) No 510/2011;Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/ECÂ ;Mobile Air-conditioningÂ systemÂ (MACs) Directive 2006/40/EC;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,720,,,1400,,,1700,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,13,Further modal shift to environmentally friendly transport modes,"Expansion of public transport through additional offers, both in local and long-distance traffic; Simplification of the tariff system; Promotion of intermodal freight transport and rail-bound freight transport through investments in infrastructure expansion",National,Single,526,Single PaM,Fiscal; Planning,Planned,ESD/ESR,Transport,"Transport: Improved transport infrastructure,Transport: Modal shift to public transport or non-motorized transport",,CO2,,,,,Companies / businesses / industrial associations; National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2021,2030,Yes,Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ,No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,650,,,590,,,490,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,14,Further enhancement of clean energy sources for transport,The aim of this measure is to increase the biogenic share in fossil fuels; Use of 100% biodiesel in agriculture.,National,Single,526,Single PaM,Fiscal; Regulatory,Planned,ESD/ESR,Transport,Transport: Low carbon fuels,,CO2,,,,,Companies / businesses / industrial associations; National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2021,,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC;Fuel Quality Directive 2009/30/ECÂ ;Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/ECÂ ;Biofuels directive 2003/30/ECÂ  ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,1080,,,1040,,,1010,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,15,Enhanced consideration of climate mitigation in spatial planning & Mobility Management,"Greening of existing regulations to promote a mix of uses, compact settlement structures, short distances and the use of public transport and active mobility; Optimization and greening of traffic through mobility management, promotion of public transport and active mobility and awareness raising",National,Single,526,Single PaM,Education; Information; Planning; Regulatory,Planned,ESD/ESR,Transport,"Transport: Demand management/reduction,Transport: Improved behavior,Transport: Improved transport infrastructure,Transport: Modal shift to public transport or non-motorized transport",,CO2,,,,,Companies / businesses / industrial associations; National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2021,,Yes,Directive on the Promotion of Clean and Energy Efficient Road Transport Vehicles 2009/33/ECÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ,No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,400,,,440,,,460,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,16,Increased energy efficiency of buildings,"Tighter mandatory construction standards improve the energy performance of new buildings and come close to a ‘zero energy’ standard in the future. Housing support is granted for the construction of buildings with improved energy efficiency only, and support for the thermal renovation of buildings is provided under several programmes, e.g. the federal ‘renovation cheque’ initiative for residential buildings and a programme under the environmental support scheme for commercial and industrial buildings. Improvements in the efficiency of new boilers are achieved through mandatory requirements at national level and eco-design standards at EU level. Furthermore, energy performance certificates have to be provided by sellers and landlords in the course of real estate transactions or renting.",National,Single,526,Single PaM,Economic; Information; Regulatory,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2006,,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the buildings sector.,,,,,629,,,698,,,638,,,589,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,17,Increased share of renewable energy for space heating,"Awareness raising measures on federal (klimaaktiv programme) and on Länder level on the advantages of modern heating systems are expected to increase the boiler exchange rate. Financial support for biomass and solar heating systems is provided for households via funding of the Länder and of the Austrian Climate and Energy Fund, support for commercial and industrial applications by the Domestic Environment Support Scheme. The District Heating and Cooling Act aims at the construction of district cooling systems in order to reduce electricity demand, as well as at the expansion of district heating networks; subsidies are provided for that purpose.",National,Single,526,Single PaM,Economic; Regulatory,Implemented,ESD/ESR,Energy Consumption; Energy Supply,"Energy Consumption: Efficiency improvements of buildings,Energy Supply: Increase in renewable energy in the heating and cooling sector",,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2000,,No,No information,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the buildings sector.,,,,,1076,,,1437,,,1437,,,1529,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,18,Increased energy efficiency in residential electricity demand,"Especially the eco-design requirements (Directive 2006/32/EC) for energy using products and the mandatory labelling of household appliances according to energy consumption, supported by awareness raising measures at national level with respect to energy efficient products and advice provided by regional energy agencies. Furthermore, the national implementation of the Energy Efficiency Directive (2012/27/EU) is considered.",National,Single,526,Single PaM,Information; Regulatory,Implemented,ESD/ESR,Energy Consumption,"Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvement of appliances",,CO2,,,,,National government; Regional entities,National government: Ministry for Digital and Economic Affairs; Regional entities: Federal provinces,2007,,Yes,"Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Eco-design framework Directive 2009/125/EC, 2008/28/EC and its implementing Regulations, combined with Labelling Regulation 2017/1369Â repealingÂ  2010/30/ECÂ  ",No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the buildings sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,19,Further enhancement of energy efficiency of buildings,"The draft edition 2018 of the OIB Guideline No. 6 of the Austrian Institute for Constructional Engineering (released in June 2018) transposes (like its predecessor) the EU Directive on the energy performance of buildings (Directive 2010/31/ EC (amended by Directive (EU) 2018/844) into national law for both residential and non-residential buildings. The mandatory target values for useful heating energy per gross floor space are tightened. Consequently, the average specific energy needs for heating considering user behavior for new buildings declines by about 16%. Energy savings by thermal renovation are about 17% more effective.",National,Single,526,Single PaM,Regulatory,Planned,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2021,,Yes,Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ,No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the buildings sector.,,,,,80,,,135,,,144,,,153,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,20,Replacement of fossil fuels with renewable energy sources,"The measure aims at the restriction of fossil fuel heating systems in new buildings, at the restriction of fossil fuel oil heating systems in existing buildings, the concerted replacement of old fossil fuel oil heating systems and the restricted natural gas networks access for heating purposes.",National,Single,526,Single PaM,Economic; Information; Regulatory,Planned,ESD/ESR,Energy Consumption; Energy Supply,"Energy Consumption: Demand management/reduction,Energy Supply: Switch to less carbon-intensive fuels",,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2021,,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the buildings sector.,,,,,391,,,940,,,1721,,,1794,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,21,Decrease emissions from F-gases and other product use,"This measure includes a.o.:
- prohibition and restriction of the use of (partly) fluorinated hydrocarbons and SF6 through a national law (Industriegasverordnung)
- quota system for the production and import of F-gases (Implementation of EU law)
- Reducing HFC emissions from air conditioning in motor vehicles (Implementation of EU law)
 reduction of F-gases in stationary applications
- Limitation of VOC emissions from the use of organic solvents in industrial installations (Implementation of EU law)",National,Single,526,Single PaM,Regulatory,Implemented,ESD/ESR,Industrial Processes,Industrial Processes: Installation of abatement technologies,"National bans on the use of SF6, HFCs and PFCs from most appliances",HFC; NF3; PFC; SF6,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2002,,Yes,F-gas Regulation 517/2014;Mobile Air-conditioningÂ systemÂ (MACs) Directive 2006/40/EC;F-gas Regulation 2006/842/ECÂ ;Industrial emissions Directive 2010/75/EU (Recast of IPPC Directive 2008/1/EC and Large Combustion Plant Directive 2001/80/EC) and its associated Best Available Technique Reference DocumentsÂ  ,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the industrial processes and product use sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,22,Implementation of EU agricultural policies,"This measure summarises the implementation of the programme for rural development 2014-2020 and the implementation of the Common agricultural policy (CAP). Herein measures such as improved feeding of pigs and poultry, covering of manure storage, low-loss application of manure and biogas slurry, promotion of organic farming, reduced usage of mineral fertiliser and promotion of grazing are summarised.",National,Single,526,Single PaM,Economic; Regulatory,Implemented,ESD/ESR,Agriculture,"Agriculture: Activities improving grazing land or grassland management,Agriculture: Improved animal waste management systems,Agriculture: Improved livestock management,Agriculture: Other activities improving cropland management,Agriculture: Reduction of fertilizer/manure use on cropland",,CH4; N2O,,,,,National government; Regional entities,National government: Ministry for Agriculture;  Regions and Tourism; Regional entities: Federal provinces,2013,,Yes,"Common Agricultural Policy, and its delegated and implementing acts;Nitrate Directive 1991/676/EECÂ  ",No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the agriculture sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,23,Emission reduction through livestock and feeding management,This measure includes: * climate friendly breeding and feeding; * Reduction of nitrogen excretion; * Promotion of grazing,National,Single,526,Single PaM,Economic; Education; Regulatory,Planned,ESD/ESR,Agriculture,"Agriculture: Activities improving grazing land or grassland management,Agriculture: Improved livestock management,Agriculture: Reduction of fertilizer/manure use on cropland",,CH4; N2O,,,,,National government; Regional entities,National government: Ministry for Agriculture;  Regions and Tourism; Regional entities: Federal provinces,2023,2027,Yes,"Common Agricultural Policy, and its delegated and implementing acts;Directive 2016/2284 on the reduction of national emissions of certain atmospheric pollutants, amending Directive 2003/35/EC andÂ repealingÂ Directive 2001/81/EC ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the agriculture sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,24,Sustainable N management,"Within this measure, the use of mineral fertilizers will be further reduced by improving the overall farm nitrogen management or by paying a premium for the reduced use. Some effective ÖPUL measures already exist for this purpose, which will be further developed or expanded accordingly. ÖPUL =  the Austrian Agri-Environmental Programme",National,Single,526,Single PaM,Economic; Education; Regulatory,Planned,ESD/ESR,Agriculture,"Agriculture: Improved animal waste management systems,Agriculture: Other activities improving cropland management,Agriculture: Reduction of fertilizer/manure use on cropland",,CH4; N2O,,,,,National government; Regional entities,National government: Ministry for Agriculture;  Regions and Tourism; Regional entities: Federal provinces,2023,2027,Yes,"Common Agricultural Policy, and its delegated and implementing acts;Nitrate Directive 1991/676/EECÂ ;Directive 2016/2284 on the reduction of national emissions of certain atmospheric pollutants, amending Directive 2003/35/EC andÂ repealingÂ Directive 2001/81/EC ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the agriculture sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,25,Anaerobic digestion of manure,The share of manure slurry that is treated in biogas plants shall be increased significantly until 2030. It is planned that a share of 30% of Austria’s total manure is treated in biogas plants in 2030.,National,Single,526,Single PaM,Economic; Regulatory; Research,Planned,ESD/ESR,Agriculture; Energy Supply,"Agriculture: Improved animal waste management systems,Agriculture: Other agriculture,Energy Supply: Increase in renewable energy sources in the electricity sector",,CO2; CH4; N2O,,,,,National government; Regional entities,National government: Ministry for Agriculture;  Regions and Tourism; Regional entities: Federal provinces,2021,2030,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the agriculture sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,26,Sustainable Forest Management,"The overall principles of forest management in Austria are stipulated in the Forest Act and include a wide-range of forest related measures: Guiding Principles of Forest Management, General ban on forest clearance/Deforestation, General ban on Forest Destruction, Immediate Re/Afforestation after felling, Forest Litter removal, Forest Protection (from Fires and Pests), Provisions on Harvest haulage & Forest Roads, Sustainable Use of Forests, Austrian Forest Dialogue, Forest Cooperatives, Task Force Renewable Energy, Protection of Wetlands",National,Single,526,Single PaM,Regulatory,Implemented,LULUCF,"Land use, land use change and forestry","Land use, land use change and forestry: Enhanced forest management",,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology ; Regional entities: Federal provinces,1975,,Yes,LULUCF Decision No 529/2013/EUÂ  ,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS target of net zero GHG emissions in 2050.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,27,Reduce emissions from waste treatment,"To reduce emissions from waste treatment, deposition of untreated bio-degradable waste has been banned completely (Austrian Landfill Ordinance). Methane emissions from mass landfills are reduced by the mandatory collection and use of landfill gas. The carbon content of waste is reduced by incineration or mechanical-biological treatment before deposition (pre-treatment options). Biogas plants, treating biogenic waste, gas-tight coverage of storage facilities are required, in order to avoid unintentional leakages. In order to minimise the generation of waste, awareness raising campaigns and networks have been established to minimise especially food waste and to intensify the re-use of waste.",National,Single,526,Single PaM,Information; Regulatory,Implemented,ESD/ESR,Waste,"Waste: Demand management/reduction,Waste: Enhanced CH4 collection and use,Waste: Improved landfill management,Waste: Improved treatment technologies,Waste: Reduced landfilling,Waste: Waste incineration with energy use",,CH4,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,1997,,Yes,"Waste Management Framework Directive 2008/98/EC, amended by Directive 2018/851Â ;Landfill Directive 1999/31/EC, amended by Directive 2018/850Â  ",No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the waste sector.,,,,,,,,,,,426,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1,Promotion of offshore wind,Offshore parks in North Sea + Joining common Offshore projects with our Neighbouring countries - NB: previously EP-A05,Covering two or more countries,Single,525,Single PaM,Economic; Regulatory,Implemented,EU ETS,Energy Supply,Energy Supply: Increase in renewable energy sources in the electricity sector,"offshore windfarm of 2000 MW implemented by 2020, by 2030 the contribution of Offshore windproduction will be 4 GW",CO2,,,,,National government,National government: FPS Economy;  SMEs;  Self-Employed and Energy - DG Energy (E2),2004,,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",Yes,With existing measures,,"Yes it contributes to the LTS with Decarbonisation, 
Production of Renewable electrivity, it is included in the LTS","Production of green electricity in the North Sea is stimulated with a system of green certificates. Green certificates are used to certify that a given amount of green electricity is produced by an electricity producer, and can be sold at a guaranteed fixed minimum price. In 2013, this minimum price guarantee was adjusted to a system with a flexible price for new offshore wind energy locations. On 21 March 2004, the federal government set a target of 2000 MW for electricity from offshore wind in 2020. Based on the permits granted, the offshore wind potential is between 2.200 and 2.300 MW. Replaced from 2020 by offshore measure from FECP (ref FECP: A1, NECP: 3.1.2).
This PAM is included in the With existing measures scenario for 2GW (by 2020) and in the With Additional Measures scenario for the total of 4GW (by 2030).",Federal PAMs impact assessment 2021 (ongoing),www.climat.be/evaluation-PAMs,3267,,,4330,,,4330,,,4185,,,"The emission reduction is calculated based on the electricity production and the assumption that this will result in a reduction of natural gas use for electricity production.
Within the PAM scenario, we have calculated a minimum and a maximum annual emission reduction; in both scenarios there is no increase of capacity post 2030. The minimum emission reduction is calculated with the assumption of 3100 full load hours, the maximum emission reduction is calculated with the assumption of 3500 full loud hours. It is also assumed that offshore wind turbines are replaced at the end of their lifetime. This is in line with the NECP scenario (European Commission, 2019). The likely scenario is equal to the minimum scenario.
The emission reduction is calculated with the following formula:
?????????? =????×??×????
With:
ERFED Federal emission reduction (kton CO2-eq) AF Allocation factor (%)
P Electricity production (MWh)
EF Emission factor (kton CO2-eq/MWh)
The electricity production in future years is estimated by multiplying the installed capacity with average full load hours. The emission reduction in future years is calculated with the following formula:
?????????? =????×??×??×????
ERFED Federal emission reduction (kton CO2-eq) AF Allocation factor (%)
C Installed capacity (MW)
H Full load hours (h)
EF Emission factor (kton CO2-eq/MWh)
With:",see documentation/source,Federal PAMs impact assessment 2021 (ongoing),www.climat.be/evaluation-PAMs,"2017,2014,2013,2020,2018,2016,2019,2015,2012,2011,2010,2009","20111,20114,20117,20120,20123,20126,20130,20367,20580,20581,20582,20583",Federal PAMs impact assessment study 2021,https://climat.be/evaluation-PAMs,,,,,,,,,"implementation costs fluctuate between 19 M€ in 2017 and 225 M€ in 2020.The costs for producers start from 551 M€ in 2017 till 3160 M€ in 2020. The costs decrease then to about 4 M€ from 2022 till 2035. Those costs are mostly due to investment costs, translating a year-by-year increase of economic activity (of +21% in 2017 and +75% in 2020 for instance).",,Development of impact assessment methods for policies and measures carried out within the framework of the federal climate policy - 2017 - ICEDD - Aether - TMl - TNO,www.climat.be/evaluation-PAMs,,,,,,,,,,,,
